_id,Date,Rain,Temp Max,Temp Min
21758,27-07-2010,6.178504944,33.02000046,25.88999939
21759,28-07-2010,0.177805245,33.27000046,26.48999977
21760,29-07-2010,0.253239363,33.45999908,26.71999931
21761,30-07-2010,10.20699501,31.81999969,26.75
21762,31-07-2010,56.14263535,31.17000008,26.56999969
21763,01-08-2010,21.01075554,30.70999908,26.25
21764,02-08-2010,2.074210167,32.29999924,26.07999992
21765,03-08-2010,0.188829362,32.75,25.98999977
21766,04-08-2010,13.10175896,32.59000015,26.60000038
21767,05-08-2010,4.363801479,31.94000053,26.37999916
21768,06-08-2010,9.997122765,32.02999878,26.05999947
21769,07-08-2010,13.50798607,32.13999939,25.87000084
21770,08-08-2010,9.637535095,33.79999924,26.43000031
21771,09-08-2010,0,35.11000061,27.38999939
21772,10-08-2010,0,35.33000183,28
21773,11-08-2010,0,33.84000015,27.87999916
21774,12-08-2010,0.157357797,35.56999969,27.27000046
21775,13-08-2010,5.993680954,33.20000076,26.86000061
21776,14-08-2010,33.65310287,32.47999954,27.20999908
21777,15-08-2010,3.969481468,30.90999985,26.15999985
21778,16-08-2010,13.67886353,32.77000046,26.05999947
21779,17-08-2010,0,33.72000122,27.30999947
21780,18-08-2010,0,33.75,27.61000061
21781,19-08-2010,0,32.84000015,27.45000076
21782,20-08-2010,1.434619784,31.04000092,26.20000076
21783,21-08-2010,18.48591805,32.66999817,26.05999947
21784,22-08-2010,27.5502224,33.20000076,27.13999939
21785,23-08-2010,0,33.38000107,27.12999916
21786,24-08-2010,1.570665002,32.86999893,26.88999939
21787,25-08-2010,0,33.06999969,26.18000031
21788,26-08-2010,0.110150456,33.54999924,26.73999977
21789,27-08-2010,3.757932186,32.56000137,26.37000084
21790,28-08-2010,8.893363953,32.93000031,26.62999916
21791,29-08-2010,22.32428932,33.06999969,26.80999947
21792,30-08-2010,1.290333986,32.52999878,26.55999947
21793,31-08-2010,3.991301775,32.38000107,26.67000008
21794,01-09-2010,0.535016537,32.72000122,26.47999954
21795,02-09-2010,6.364563942,33.20000076,27.18000031
21796,03-09-2010,0,33.04999924,27.35000038
21797,04-09-2010,0,32.97000122,26.89999962
21798,05-09-2010,0.526583374,32.75999832,27.10000038
21799,06-09-2010,2.178431511,33.09000015,26.96999931
21800,07-09-2010,2.034305096,32.93000031,27.03000069
21801,08-09-2010,8.104016304,32.47000122,26.79000092
21802,09-09-2010,13.02879047,33.11000061,26.77000046
21803,10-09-2010,0.851744235,33.20000076,26.90999985
21804,11-09-2010,0,33.06999969,26.87000084
21805,12-09-2010,2.543221235,30.95000076,25.35000038
21806,13-09-2010,0.188829362,31.25,25.46999931
21807,14-09-2010,15.30076218,31.59000015,26.31999969
21808,15-09-2010,9.639710426,31.43000031,25.70999908
21809,16-09-2010,3.928771019,31.46999931,25.71999931
21810,17-09-2010,8.610217094,31.62000084,26
21811,18-09-2010,1.683249593,29.38999939,25.62999916
21812,19-09-2010,18.60811806,29.14999962,25.62999916
21813,20-09-2010,9.616380692,31.67000008,25.51000023
21814,21-09-2010,0.626577497,32.61999893,26.06999969
21815,22-09-2010,56.07763672,31.76000023,25.82999992
21816,23-09-2010,0.573790729,31.96999931,25.02000046
21817,24-09-2010,0,32.09000015,25.44000053
21818,25-09-2010,1.852605462,32.36000061,25.26000023
21819,26-09-2010,0.438819468,33,26.12000084
21820,27-09-2010,6.494527817,34.29999924,26.12999916
21821,28-09-2010,0,33.58000183,26.10000038
21822,29-09-2010,0,33.13999939,25.5
21823,30-09-2010,0,33.70999908,25.07999992
21824,01-10-2010,0,34.20000076,26.14999962
21825,02-10-2010,0,34.04000092,26.14999962
21826,03-10-2010,0,34.27999878,26.26000023
21827,04-10-2010,0,35.09999847,26.51000023
21828,05-10-2010,0,33.31999969,25.94000053
21829,06-10-2010,7.644026279,28.63999939,24.75
21830,07-10-2010,4.26142931,25.78000069,24.76000023
21831,08-10-2010,44.75001526,27.78000069,24.17000008
21832,09-10-2010,3.800093412,30.18000031,22.96999931
21833,10-10-2010,0,32.31000137,23.88999939
21834,11-10-2010,0,32.95000076,24.36000061
21835,12-10-2010,0,32.29000092,24.88999939
21836,13-10-2010,0,31.12999916,25.51000023
21837,14-10-2010,0,31.04000092,26.12999916
21838,15-10-2010,73.12265015,30.78000069,25.12999916
21839,16-10-2010,0.792590857,31.23999977,25.59000015
21840,17-10-2010,0,31.14999962,25.73999977
21841,18-10-2010,0,32.54000092,25.73999977
21842,19-10-2010,0,33.59000015,25.43000031
21843,20-10-2010,0,34.04000092,25.92000008
21844,21-10-2010,0,33.22999954,26.10000038
21845,22-10-2010,0.264685452,31.69000053,25.22999954
21846,23-10-2010,0,31.95000076,25.43000031
21847,24-10-2010,26.07468414,32.36000061,24.94000053
21848,25-10-2010,0,31.78000069,23.81999969
21849,26-10-2010,0,31.52000046,24.46999931
21850,27-10-2010,0,31.61000061,23.60000038
21851,28-10-2010,0,31.37000084,21.52000046
21852,29-10-2010,0,31.44000053,21.63999939
21853,30-10-2010,0,31.23999977,21.10000038
21854,31-10-2010,0,30.14999962,22.46999931
21855,01-11-2010,0,25.28000069,22.47999954
21856,02-11-2010,0,26.43000031,20.71999931
21857,03-11-2010,0,30.19000053,21.70000076
21858,04-11-2010,0,31.07999992,21.01000023
21859,05-11-2010,0,30.79000092,20.29000092
21860,06-11-2010,0,31.48999977,20.76000023
21861,07-11-2010,0,31.5,21.62999916
21862,08-11-2010,0,30.76000023,22.87000084
21863,09-11-2010,0,31.94000053,22.39999962
21864,10-11-2010,0,32.25999832,21.63999939
21865,11-11-2010,0,31.96999931,22.21999931
21866,12-11-2010,0,31.78000069,21.95000076
21867,13-11-2010,0,31.01000023,22.26000023
21868,14-11-2010,0,30.95000076,22.13999939
21869,15-11-2010,0,31.01000023,21.80999947
21870,16-11-2010,0,31.46999931,21.84000015
21871,17-11-2010,0,31.09000015,22.19000053
21872,18-11-2010,0,32.02000046,22.38999939
21873,19-11-2010,8.727325439,30.93000031,23.15999985
21874,20-11-2010,0,30.79999924,22.72999954
21875,21-11-2010,0.568461537,29.46999931,20.55999947
21876,22-11-2010,0,29.42000008,17.03000069
21877,23-11-2010,0,29.61000061,16.36000061
21878,24-11-2010,0,29.81999969,17.55999947
21879,25-11-2010,0,30.60000038,18.19000053
21880,26-11-2010,0,30.62999916,20.55999947
21881,27-11-2010,0,30.61000061,21.29000092
21882,28-11-2010,0,30.18000031,21.48999977
21883,29-11-2010,0,28.95000076,20.79999924
21884,30-11-2010,0,28.60000038,18.45999908
21885,01-12-2010,0,27.15999985,16.06999969
21886,02-12-2010,0,27.30999947,13.69999981
21887,03-12-2010,0,27.89999962,14.31000042
21888,04-12-2010,0,27.62999916,15.44999981
21889,05-12-2010,0,26.26000023,15.39000034
21890,06-12-2010,0,23.04000092,19.87000084
21891,07-12-2010,0.604070902,26.15999985,18.07999992
21892,08-12-2010,0,23,19.51000023
21893,09-12-2010,6.441453934,22.94000053,19.05999947
21894,10-12-2010,9.207427979,26.14999962,19.53000069
21895,11-12-2010,0,27.86000061,18.11000061
21896,12-12-2010,0,27.31999969,17.02000046
21897,13-12-2010,0,25.07999992,16.35000038
21898,14-12-2010,0,25.13999939,15.21000004
21899,15-12-2010,0,24.05999947,13
21900,16-12-2010,0,24.93000031,12.85000038
21901,17-12-2010,0,25.06999969,13.56000042
21902,18-12-2010,0,25.21999931,12.47000027
21903,19-12-2010,0,25.36000061,12.67000008
21904,20-12-2010,0,25.27000046,11.97999954
21905,21-12-2010,0,24.70000076,10.97999954
21906,22-12-2010,0,24.54000092,10.44999981
21907,23-12-2010,0,25.87000084,10.77999973
